,tenure,paperlessBilling,monthlyCharges,totalCharges,churn,gender,age,phoneService,multipleLines,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,paymentMethod_Bank transfer (automatic),paymentMethod_Credit card (automatic),paymentMethod_Electronic check,paymentMethod_Mailed check,internetService_DSL,internetService_Fiber optic,internetService_No
0,34,0,56.95,7.5690505300929,0,1,41,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
1,45,0,42.3,7.551974785918659,0,1,61,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
2,2,1,70.7,4.958639998977875,1,0,66,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,22,1,89.1,7.581311809777078,0,1,39,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0
4,10,0,29.75,5.698769932832657,0,0,39,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5,28,1,104.8,7.984599009177098,1,0,38,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0
6,62,0,56.15,8.155448273997616,0,1,50,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
7,13,1,49.95,6.4775106795097495,0,1,50,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
8,16,0,18.95,5.717685379825192,0,1,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,58,0,100.35,8.669278883480228,0,1,60,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0
10,49,1,103.7,8.53351919401501,1,1,46,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
11,25,1,105.5,7.877965852845723,0,1,46,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0
12,69,0,65.0,8.408716715080153,0,0,41,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
13,52,0,20.65,6.979889876741336,0,0,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
14,71,0,106.7,8.932833027640864,0,1,32,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0
15,21,1,90.05,7.545416176323946,0,0,26,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
16,1,0,20.15,3.0516399054922867,1,1,88,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,58,1,59.9,8.153407310299562,0,0,75,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
18,49,0,59.6,7.979818232416711,0,1,66,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0
19,1,0,30.2,3.4404180948154366,1,1,65,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
20,17,1,64.7,7.003883306076357,1,0,29,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0
21,2,1,65.0,4.875197323201151,0,1,81,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
22,1,0,20.2,3.054001181677967,0,1,65,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,5,1,69.7,5.856503561673865,1,1,48,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,46,1,74.8,8.14374986933081,0,0,48,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
25,11,1,97.85,6.9822596011502425,1,0,27,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0
26,70,1,69.2,8.485702524324866,0,0,82,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
27,17,0,20.75,5.868590448957447,0,0,59,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28,49,1,84.5,8.32881332003832,0,0,48,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
29,2,0,49.25,4.600157644164547,0,1,29,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
30,2,1,80.65,5.089446474520545,1,0,83,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
31,69,1,64.15,8.395556489918762,0,0,50,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0
32,43,1,90.25,8.26404136186128,0,0,49,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
33,25,1,69.5,7.460777951447916,0,0,30,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
34,8,1,80.65,6.471109053390398,1,0,75,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
35,60,1,74.85,8.410053315858335,0,0,79,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0
36,63,1,99.65,8.744958048030963,0,0,52,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0
37,66,1,108.45,8.876083679224099,0,1,38,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0
38,34,0,24.95,6.744412480785964,0,0,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39,72,1,107.5,8.954286157204713,0,0,74,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0
40,60,1,89.9,8.593227877692234,0,1,55,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
41,72,0,42.1,8.017043707647481,0,1,29,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
42,3,1,65.0,5.278114659230517,0,0,21,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0
43,47,1,78.9,8.21859845855403,0,1,90,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
