tenure,contract,paperlessBilling,monthlyCharges,totalCharges,churn,gender,age,phoneService,multipleLines,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,internetService_Fiber optic,internetService_No,paymentMethod_Credit card (automatic),paymentMethod_Electronic check,paymentMethod_Mailed check
0.5,0.5,0,0.3850746268656716,0.22476322205551388,0,1,0.30000000000000004,1,0,1,0,1,0,0,0,0,0,0,0,1
0.75,0.5,0,0.23930348258706463,0.22091851087771938,0,1,0.5857142857142857,0,0,1,0,1,1,0,0,0,0,0,0,0
0.0,0.0,1,0.5218905472636816,0.014370780195048762,1,0,0.6571428571428571,1,0,0,0,0,0,0,0,1,0,0,1,0
0.25,0.0,1,0.7049751243781094,0.22756470367591894,0,1,0.27142857142857146,1,1,0,1,0,0,1,0,1,0,1,0,0
0.0,0.0,0,0.11442786069651739,0.03266832333083271,0,0,0.27142857142857146,0,0,1,0,0,0,0,0,0,0,0,0,1
0.25,0.0,1,0.8611940298507462,0.3417573143285821,1,0,0.2571428571428571,1,1,0,0,1,1,1,1,1,0,0,1,0
1.0,0.5,0,0.3771144278606965,0.40586318454613646,0,1,0.4285714285714286,1,0,1,1,0,0,0,0,0,0,0,0,0
0.0,0.0,1,0.3154228855721393,0.07391105588897223,0,1,0.4285714285714286,1,0,1,0,0,0,0,0,0,0,0,0,1
0.25,1.0,0,0.006965174129353213,0.03333645911477869,0,1,0.3857142857142857,1,0,0,0,0,0,0,0,0,1,1,0,0
1.0,0.5,0,0.8169154228855721,0.680033289572393,0,1,0.5714285714285714,1,1,0,0,1,0,1,1,1,0,1,0,0
0.75,0.0,1,0.8502487562189055,0.5934100712678169,1,1,0.37142857142857144,1,1,0,1,1,0,1,1,1,0,0,0,0
0.25,0.0,1,0.8681592039800995,0.30695564516129026,0,1,0.37142857142857144,1,0,1,0,1,1,1,1,1,0,0,1,0
1.0,1.0,0,0.46517412935323377,0.5235136909227306,0,0,0.30000000000000004,1,1,1,1,1,1,1,1,1,0,1,0,0
0.75,0.5,0,0.023880597014925342,0.12366372843210802,0,0,0.6285714285714286,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,0,0.8800995024875623,0.8857956676669165,0,1,0.17142857142857143,1,1,1,0,1,0,1,1,1,0,0,0,0
0.25,0.0,1,0.7144278606965173,0.21945916166541632,0,0,0.08571428571428574,1,0,0,1,1,0,0,1,1,0,0,1,0
0.0,0.0,0,0.018905472636815884,0.0001582426856714175,1,1,0.9714285714285714,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,1,0.4144278606965174,0.405030945236309,0,0,0.7857142857142857,1,1,0,1,0,1,0,0,0,0,1,0,0
0.75,0.0,0,0.4114427860696518,0.3401162790697674,0,1,0.6571428571428571,1,0,1,1,0,1,0,0,0,0,1,0,0
0.0,0.0,0,0.11890547263681589,0.0013362715678919726,1,1,0.6428571428571428,0,0,0,1,0,0,0,0,0,0,0,1,0
