web-scraper-order,web-scraper-start-url,cfp_link,cfp_link-href,cfp_text
1624306414-269,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=8,ACM-EI/Scopus-ACAI 2021,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=115414&copyownerid=165700,"ACM-2021 4th International Conference on Algorithms, Computing and Artificial Intelligence (ACAI 2021)

Sanya, China

December 22nd-24th, 2021 

http://www.acai2021.net/



Following the success of ACAI 2018, ACAI 2019, ACAI 2020, the 4th ACAI will take place in Sanya, China again during December 22nd-24th, 2021.



2021 4th International Conference on Algorithms, Computing and Artificial Intelligence aims to provide a forum for researchers, practitioners, and professionals from the industry, academia and government to discourse on research and development, professional practice in Algorithms, Computing and Artificial Intelligence Conference. ACAI 2021 will include presentations in form of contributed papers, poster sessions, and state of the art lectures by invited keynote speakers.



Topics: 

Advanced numerical algorithms

Artificial immune systems 

Applications of computation as a scientific paradigm

Artificial Intelligence in modelling and simulation

Applications of computational science

Artificial Intelligence in scheduling and optimization

Complex systems: modeling and simulation

Artificial life 

(For more topics:  http://www.acai2021.net/topic.html)



Paper Publication: 

All accepted papers after proper registration will be included in ACAI 2021 Conference Proceedings, published by ACM (ISBN: 978-1-4503-8505-3), archived in ACM Digital Library, and will be indexed by Ei Compendex and Scopus.



* All accepted papers of ACAI 2018-ACAI 2020 has been published and archived in ACM Digital Library and indexed by EI Compendex and Scopus Successfully (Link: http://www.acai2021.net/history.html)

 

ACAI 2021 Speakers:

Prof. Yi-Bing Lin, AAS Fellow, ACM Fellow, IEEE Fellow, and IET Fellow

Winbond Chair Professor, National Yang Ming Chiao Tung University



Prof. Xiaodong Liu, Head of Intelligence-Driven Software Engineering Research Group

Edinburgh Napier University, UK



Prof. Jixin Ma, Director of the Centre for Computer and Computational Science

University of Greenwich, U.K



Assoc. Prof. Feng-Jen Yang

Florida Polytechnic University, USA



Assoc. Prof. Kin-Choong Yow

University of Regina, Canada



Paper Submission (Choose one way to submit your paper): 

1.	Submission System: https://cmt3.research.microsoft.com/ACAI2021/

2.	Email Submission: sub@acai2021.net



You are also welcome to join us as : 

As Presenter: If you want to share you latest research results by giving presentation without publish papers, please submit your abstract (300-400 words)

As Listener: You are also warmly welcomed to take part in ACAI 2021 as a listener even though you have no paper to submit.

As Reviewer: To ensure the fairness and guarantee the quality of ACAI 2021, we cordially invite experts and scholars join us as a reviewer.



Contact us: 

Conference Secretary: Ms. Caroline Li

Email: sub@acai2021.net

Tel: +852 56144331

Website: http://www.acai2021.net/"
1624306244-202,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=11,RT on S&PBAI 2021,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=127336&copyownerid=167966,"Research Topic on Security and Privacy on Blockchain-based AI, Frontiers in Blockchain



Blockchain and Artificial Intelligence are two technologies which, when merged, can help each other unleash their true potential. Blockchains can secure the availability and seamless access to integrity-protected large data sets, from various domains, thus facilitating the effective and more profound learning of AI algorithms. Similarly, AI can be utilized to introduce new consensus mechanisms, and therefore, new ways of interacting with Blockchains. However, when it comes to processing sensitive data, like corporate, healthcare and finance data, several security and privacy concerns arise that should be carefully considered. The interaction with Blockchains is subject to data credibility checks, data leakages related to transaction linkability, compliance with data protection regulations, on-chain data privacy, and malicious smart contracts. To address these challenges, new security and privacy-preserving solutions that are either based on AI or utilized for protecting AI-based blockchain data processing are emerging to facilitate the integration of these two cutting-edge technologies.



The aim of the current Research Topic is to cover promising, recent, and novel research trends in the fields of Blockchains and AI with an emphasis on security and privacy. More precisely, the goal is to attract new approaches, innovative machine learning and, generally, intelligent techniques that interact with blockchain technology to create advanced solutions that provide a secure environment for data processing and protect the privacy of individuals. Furthermore, the Research Topic is not limited only on these topics, but also covers issues related with secure decentralized and distributed machine learning, security- and privacy-by-design AI/Blockchain, privacy-preserving blockchain-based solutions, GDPR-compliant AI/Blockchain, and evaluation and optimization of AI/Blockchain solutions.



Areas to be covered in this Research Topic may include, but are not limited to:



    - Privacy-preserving AI/Blockchain solutions

    - Blockchain-based big data sharing for AI

    - Privacy-preserving federated learning

    - Blockchain-based AI

    - Secure decentralized machine learning

    - Secure distributed machine learning

    - On-chain privacy

    - Crypto-privacy AI techniques

    - Smart contract privacy protection using AI

    - Evaluating user privacy in Blockchains

    - Cryptographic techniques for AI/Blockchain applications

    - Differential privacy in AI/Blockchain

    - GDPR strategy, compliance and optimization using AI/Blockchain

    - Security- and privacy-by-design on AI/Blockchain



The submission deadline for this Research Topic is 19 July 2021.



Topic Editors:



    - Konstantinos Rantos, Department of Computer Science, International Hellenic University, Greece

    - George Drosatos, Institute for Language and Speech Processing, Athena Research Center, Greece (https://www.drosatos.info)

    - Konstantinos Demertzis, Department of Physics, International Hellenic University, Greece



This Research Topic is available in the journal ""Frontiers in Blockchain"" and more details are available here: https://www.frontiersin.org/research-topics/19116/"
1624306728-390,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=2,"ACM--ICRV--Ei Compendex, SCOPUS 2021",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=118510&copyownerid=13881,"Full name: 2021 The 6th International Conference on Robotics and Vision

Abbreviation : ICRV 2021



2021 The 6th International Conference on Robotics and Vision (ICRV 2021), as a workshop of IRCE 2021, will be held in *Lanzhou, China *during*September 18-20, 2021*



ICRV 2021 is sponsored by Concordia University, Canada and Lanzhou Jiaotong University, China, and is supported by Northwest Minzu University,China and Singapore Institute of Electronics.



● ICRV 2021Speakers:

Prof. Fuchun Sun(IEEE Fellow), Tsinghua University, China

Prof. Maria Pia FANTI(IEEE Fellow), Polytechnic of Bari, Italy

Prof. Chun-Yi Su(Fellow of JSPS), Concordia University, Canada

Prof. Ilana Nisky(IEEE Senior Member), Ben-Gurion University of the Negev, Israel

Prof. Zhi Li, Northeastern University, China

ICRV 2020 Speakers:

Prof. Shane Xie(Fellow of IPENZ), University of Leeds, UK

Prof. Chun-Yi Su, Concordia University, Canada

Prof. Zhengtao Ding, The University of Manchester, UK

Prof. Richard Mitchell, University of Reading, UK







●Submission

1. By online system: http://confsys.iconf.org/submission/icrv2021

2. By Email: icrv@sciei.org 



●Publication:

Accepted and registered papers will be included in the *ICRV-ACM conference proceedings with ISBN: 978-1-4503-7632-7*

Published papers are expected to be submitted and indexed by *EI Compendex, Scopus, etc main database*. which can be indexed by *Ei Compendex, SCOPUS*, etc.



●Call for Paper:

Topics of interest for submission include, but are not limited to:

Track 1: Robotics

Modeling and identification;

Robot control;

Mobile robotics;

Mobile sensor networks;

Perception systems;

Micro robots and micro-manipulation;

Visual servoing;

Search, rescue and field robotics;

Robot sensing and data fusion;

Localization, navigation and mapping;

Dexterous manipulation;

Medical robots and bio-robotics;

Human centered systems;

Space and underwater robots;

Tele-robotics;

Mechanism design and applications.



Track 2: Vision

Image/video analysis;

Feature extraction, grouping and segmentation;

Scene analysis;

Pattern recognition;

Learning in vision;

Human-computer interaction;

Tracking and surveillance;

Biometrics;

Biomedical Image analysis;

Activity/behavior recognition;

Applications.





More topics, please visit: http://www.icrv.org/cfp.html







●Contacts:

Ms. Jane Li

E-mail: icrv@sciei.org 

Tel: +861-811-7806403 | +1-669-900-4528

Website: www.icrv.org"
1624306572-332,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=5,IJCSES  2021,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=106479&copyownerid=33993,"International Journal of Computer Science and Engineering Survey (IJCSES)Call for PapersThe AIRCC's International Journal of Computer Science and Engineering Survey (IJCSES) is devoted to fields of Computer Science and Engineering surveys, tutorials and overviews. The IJCSES is a peer-reviewed, open access scientific journal published in electronic form as well as print form. The journal will publish research surveys, tutorials and expository overviews in computer science and engineering. Articles from supplementary fields are welcome, as long as they are relevant to computer science and engineering.Topics of interest include but are not limited to, the followingAlgorithms and Bioinformatics          Computer Architecture and Real Time Systems          Database and Data Mining          Dependable, Reliable and Autonomic Computing          Distributed and parallel systems & Algorithms          DSP/Image Processing/Pattern Recognition/Multimedia          Embedded System and Software          Game and Software Engineering          Geographical Information Systems/ Global Navigation Satellite Systems (GIS/GNSS)          Grid and Scalable Computing          Intelligent Information & Database Systems          IT policy and Business Management          Mobile and Ubiquitous Computing          Modeling and Simulation          Multimedia Systems and Services          Networking and Communications          Parallel and Distributed Systems          Security and Information Assurance          Soft Computing (AI, Neural Networks, Fuzzy Systems, etc.)          Software Engineering          Web and Internet ComputingPaper Submission:Authors are invited to submit papers for this journal through Email: ijcses@aircconline.com or through   Submission System Submissions must be original and should not have been published previously or be under consideration for publication while being evaluated for this Journal. Important Dates :Submission Deadline:  June 26, 2021Authors Notification:July 26, 2021Final Manuscript Due:August 03, 2021Publication Date:Determined by the Editor-in-ChiefEditorial Board Members   Abdul Kadhir Ozcan, The American University, CyprusAditya Khamparia, Lovely Professional University, IndiaAhmed Nada, Al-Quds University, PalestineAkash Kadiyan, N. C. Institute of Technology, IndiaAlaaYaseenTaqa, Mosul University, IraqAli Asghar Rahmani Hosseinabadi, Islamic Azad University, IranAmandeep Verma, Punjabi University, IndiaAnkit Chaudhary, Birla Institute of Technology and Science, IndiaAnkit Thakkar, Nirma University, IndiaAtif Farid Mohammad, Uniersity of North Dakota, USA...for more"
1624306429-275,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=8,SIVP COVID-19,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=109947&copyownerid=4623,"Our world has been facing unprecedented challenges as a result of the COVID-19 pandemic. The pandemic has been fought on many fronts and in many different ways. Signal, E7image and Video processing as well as Computer Vision (CV), Big Data (BD) and Artificial Intelligence (AI) have much to offer, and can therefore help combat the virus, especially when combined with other research areas.



The SVIP Editorial Board has joined the fight against the virus by launching this call for papers for a Special Issue on Computer Vision, Big Data and AI research to combat COVID-19.



Topics of interest include, but are not limited to:



Datasets, data platforms, signal/data analysis and modelling approaches that facilitate our understanding of any aspect of the new coronavirus;

Signal and image processing techniques for COVID-19 detection and diagnosis from multimodal data, such as, voice, X-ray and CT images;

CV and AI techniques to ensure compliance with different measures, such as lockdowns, social distancing and facemask wearing;

CV and AI methods for COVID-19 detection and diagnosis;

Data analysis and AI approaches for tracking and predicting pandemic outbreaks;

AI for infodemiology and infoveillance;

Dynamic data assimilation models/Mathematical models;

Hybrid AI Neuro-symbolic models;

BD for outbreak detection and prediction;

BD for virus spread tracking;

BD for diagnosis and treatment;

BD for vaccine and drug discovery.

Guest Editors



Turgay Celik (Lead Guest Editor), University of Witwatersrand, South Africa, turgay.celik@wits.ac.za

A. Enis Cetin, University of Illinois at Chicago, USA, aecyy@uic.edu

Juan Manuel Corchado Rodríguez, University of Salamanca, Spain, corchado@usal.es

Behcet Ugur Toreyin, Istanbul Technical University, Turkey, toreyin@itu.edu.tr

Charis Harley, University of Johannesburg, South Africa, charley@uj.ac.za

Albert Ali Salah, Utrecht University, The Netherlands, a.a.salah@uu.nl



Deadline for Submissions: 30 June 2021



Submission Guidelines



Authors from academia and industry working on the above research topics are invited to submit original manuscripts that have not been published and are not currently under review by other journals or conferences. Previously published conference papers should be clearly identified by the authors at the submission stage and an explanation should be provided about how such papers have been extended.  At least 30% of new content is expected.

All the papers will be peer-reviewed according to the SIVP reviewing procedure.



Paper submissions for the special issue should follow the submission format and guidelines of the journal (https://www.springer.com/journal/11760/submission-guidelines).



At the beginning of the submission procedure in Editorial Manager (https://www.editorialmanager.com/sivp/default.aspx), authors should select article type ‘SI: Computer Vision, Big Data and AI Research in Combating COVID-19'."
1624306229-197,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=12,"ICMST--EI, Scopus 2021",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=126255&copyownerid=13881,"Full Name: 2021 12th International Conference on Manufacturing Science and Technology (ICMST 2021)--EI Compendex, SCOPUS

Abbreviation: ICMST 2021





*The 12th International Conference on Manufacturing Science and Technology (ICMST 2021)

*Shanghai, China

*October 16-18, 2021

*http://www.icmst.org





ICMST - the annual conference, has been held successfully since 2010. It has 11 years history until now. Due to the impact of COVID-19, ICMST 2020 had to shift to online form. Thanks for all participants continuous and generous support! 



Now, 2021-new year has come. On behalf of the Organizing Committee, I'm honored to announced that The 12th International Conference on Manufacturing Science and Technology (ICMST 2021) will be held in Shanghai, China during October 16-18, 2021. 



**The ICMST conference over the years always has good PUBLICATION & INDEX history and was praised by the participants due to its strong academic atmosphere, participation experience and so on. You can get more details here: http://icmst.org/history.html



**ICMST 2021 aims to provide a platform to help the researchers, scholars and so on communicate their thought, idea, innovation and so on about the area of Manufacturing Science and Technology. We warmly welcome you to attend the conference, present your work and so on. Hope all participants have full harvest in period of conference.







***Publication***:

All accepted and registered papers will be published in Conference Proceedings, which will be indexed by 【Ei Compendex, Scopus,】 Conference Proceedings Citation Index—Science (CPCI-S) (Thomson Reuters, Web of Science), Chemical Abstracts etc.







**Publication History**:

ICMST 2020 - Will be published in IOP Conference Series: Materials Science and Engineering. (Under progress)

ICMST 2019 - Published in Solid State Phenomena(Vol.305). Indexed by Ei Compendex & Scopus. 

ICMST 2018 - Published in Solid State Phenomena(Vol.287). Indexed by Ei Compendex & Scopus. 

ICMST 2017 - Published in Materials Science Forum(Vol.911). Indexed by Ei Compendex & Scopus. 

ICMST 2016 - Published in Materials Science Forum(Vol.882). Indexed by Ei Compendex & Scopus. 

ICMST 2015 - Published in Applied Mechanics and Materials(Vol.789-790). 

ICMST 2014 - Published in Advanced Materials Research(Vol.980).

ICMST 2013 - Published in Advanced Materials Research(Vol.816-817).

ICMST 2012 - Published in Advanced Materials Research(Vol.622-623). 

ICMST 2011 - Published in Advanced Materials Research(Vol.383-390).

**To learn more details about that, please visit: http://icmst.org/history.html







**Submission: 

~Please submit your full paper & abstract via this link: http://confsys.iconf.org/submission/icmst2021

  Or you can send them to: icmst@cbees.net







***Topics of Interest ***

Materials behavior

Coatings and surface engineering

Composite materials
+E13
Nontraditional manufacturing

Surface, subsurface, and interface phenomena

Nanomaterials and nanomanufacturing

Computer-aided design, manufacturing, and engineering

Nanofabrication, nanometrology and applications

Environmentally sustainable manufacturing processes and systems

~To get more details, please go to: http://icmst.org/cfp.html









***ICMST2021 Keynote Speaker:

    Coming soon....

    The information will be confirmed soon, please visit: http://icmst.org/speaker.html

***Previous ICMST Speakers

 ~Prof. Yuyuan Zhao, University of Liverpool, UK

   Dr. Yuyuan Zhao joined Liverpool University in 1998 as a Lecturer and was promoted to Senior Lecturer in 2005, Reader in 2010 and Professor in 2015.

   Dr. Yuyuan Zhao was awarded the Ivor Jenkins Medal in 2015 for an outstanding contribution to powder metallurgy in developing and commercialising innovative powder based technologies for manufacturing metal foams. 

   Dr. Yuyuan Zhao current research is focused on the manufacture, characterisation and applications of porous metals and metal matrix syntactic foams.

 ~Prof. Jesús Toribio, University of Salamanca, Spain

   Professor Jesus Toribio graduated in Civil Engineering in 1982 and then in Mathematics in 1986. In 1987 he was awarded his PhD in the Polytechnic University of Madrid (UPM) and turned into Associate Professor in that Institution. In 1992 he became Full Professor and Head of the Materials Science Department of the University of La Coruña (at the age of 32, thus being the youngest Full Professor in the area of Materials Science in Spain).

   His research work is mainly concerned with fatigue and fracture mechanics, environmentally assisted cracking, stress corrosion cracking and hydrogen embrittlement/degradation/damage of metals and alloys (mainly cold drawn pearlitic steel wires for civil engineering and austenitic stainless steels for nuclear engineering and energy applications), covering theoretical, computational and experimental aspects.

 ~Prof. Ian D. Walker, IEEE Fellow (Clemson University, USA)

   Ian Walker received the B.Sc. in Mathematics from the University of Hull, England, in 1983 and the M.S. and Ph.D. in Electrical and Computer Engineering from the University of Texas at Austin in 1985 and 1989.

   Professor Walker is a Fellow of the IEEE and a Senior Member of the AIAA. He has served as Vice President for Financial Activities for the IEEE Robotics and Automation Society, and as Chair of the AIAA Technical Committee on Space Automation and Robotics.

   Professor Walker's research focuses on research in the construction, modeling, and application of continuum robots.

 ~Prof. Sujan Debnath, Curtin University, Malaysia

   Dr. Sujan (CEng MIMechE) Joined Curtin University, Sarawak Malaysia in October 2008 after completion of two years tenure in Multimedia University, Malaysia. Since 2014, he has been appointed as the Head of Mechanical Engineering, Curtin Sarawak.

   He has been working in the area of thermo-mechanical stress analysis, green composite materials, and polymer composite materials.

** To get more Speakers and details, please go to: http://icmst.org/previous.html







Conference Schedule:

October 16, 2021(Saturday)---Check-in & Pick-up Conference Materials

October 17, 2021(Sunday)---Opening Remarks, Keynote & Invited Speeches, and Parallel Sessions

October 18, 2021(Monday)---Technical Visit







Contact us

--------------------

Ms. Jane Li

Tel:+86-28-87577778(Mainland China)/+852-3155-4897(Hong Kong)

Email: icmst@cbees.net

Website: http://www.icmst.org"
1624306247-203,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=11,WIIS 2021,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=132233&copyownerid=107631,"Dear Sir/Madam,



We are honored to invite you to participate in the Workshop on Intelligent Information Systems (WIIS2021), which will be held on October 14-15, 2021, in Chisinau, Republic of Moldova. The workshop is organized by the Vladimir Andrunachievici Institute of Mathematics and Computer Science.



The workshop encompasses a broad spectrum of intelligent information systems related subjects. It is devoted to discussion of current research and applications regarding development, implementation and promotion of advanced emergent Information Systems and Technologies.



Topics of interest include, but are not restricted to the following areas:



Theoretical Computer Science;

Formal Models of Computing;

Information Technologies Applications;

Decision Support Systems;

Intelligent Agents and Multi-Agent Systems;

Knowledge Engineering and Management;

Medical & Diagnostic Systems;

Natural Language Processing;

E-Learning Tools and Systems;

Cyber Security;

Intelligent User Interfaces;

Neural Networks.



A special session dedicated to good practices of collaboration between science and industry will be organized.



The important dates of the workshop:



- Deadline for paper submission:                   July 19, 2021



- Notification of acceptance:                       August 23, 2021



- Final paper deadline:                                September 5, 2021



- Detailed workshop program:                       October, 8, 2021



- Workshop dates:                                      October 14-15, 2021



 No fee is charged for participating in the workshop.



All the details about the workshop can be found on the website: www.math.md/wiis2021/



If you have questions related to the workshop, please do not hesitate to contact us on the workshop e-mail: wiis2021@math.md





We are looking forward to hearing from you.

Yours sincerely,

WIIS2021 Organizing Committee"
1624305854-50,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=19,PRICAI 2021,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=125176&copyownerid=167477,"PRICAI-2021 Call for Papers

--------------------------------



The Pacific Rim International Conference on Artificial Intelligence (PRICAI) is a biennial international event which concentrates on AI theories, technologies and their applications in the areas of social and economic importance for countries in the Pacific Rim. In the past, the conferences have been held in Nagoya (1990), Seoul (1992), Beijing (1994), Cairns (1996), Singapore (1998), Melbourne (2000), Tokyo (2002), Auckland (2004), Guilin (2006), Hanoi (2008), Daegu (2010), Kuching (2012), Gold Coast (2014), Phuket (2016), Nanjing (2018), Fiji (2019), and Yokohama (2020, online).



The 18th PRICAI (2021) will be held in Hanoi, Vietnam. The Program Committee invites technical papers on substantial, original, and unpublished research in all aspects of Artificial Intelligence. PRICAI-2021 aims to bring together researchers, practitioners, educators and users in AI and related communities for in-depth intellectual exchanges, research cooperation and professional development.



Submission Guidelines

-------------------------



Proceedings of PRICAI-2021 will be published by Springer as a volume of Lecture Notes in Artificial Intelligence (LNAI) series. All papers should be submitted electronically using the conference management tool in PDF format and formatted using the Springer LNAI template. Submitted papers should not exceed 12 pages (excluding references). Submitted papers must not be published or under consideration to be published elsewhere.



PRICAI reviewing is double blind, i.e., the authors do not know the names of the reviewers, and the reviewers cannot infer the names of the authors from the submission. The authors should avoid providing information that may identify themselves in any part of the submission. Violation of this guideline may lead to rejection without review.



Paper submission link: https://easychair.org/conferences/?conf=pricai2021



Important Dates (Tentative)

-------------------------------



Paper Submission:                          May 23, 2021

Acceptance Notification:                 July 31, 2021

Camera-Ready Submission:            August 23, 2021

Conference Dates:                           November 8-12, 2021



List of Topics

---------------



AI foundations

Applications of AI

Agents

Bayesian networks

Big data analytics

Bioinformatics

Bio-inspired intelligence

Cognitive systems

Cognitive computing

Constraint satisfaction

Data mining and knowledge discovery

Decision theory

Education and tutoring systems

Evolutionary computation

Games and interactive entertainment

Heuristics

Information retrieval and extraction

Internet of things

Knowledge acquisition and ontology

Knowledge management

Knowledge representation

Linked open data

Machine learning

Markov networks

Multimedia and arts

Multimodal interaction

Natural language processing

Neural networks and deep learning

Planning and scheduling

Probabilistic inference

Reasoning

Robotics

Search

Text/Web/Internet mining

Semantic web

Social intelligence

Speech and dialogue systems

Uncertainty Vision and perception



Call for Workshop and Tutorial Proposal

--------------------------------------------



The PRICAI-2021 organizers invite workshop and tutorial proposals in the area of Artificial Intelligence in various topics. PKAW and PRIMA will be held together with PRICAI 2021.



Organising Committees

--------------------------



General Chairs

- Guido Governatori (Data61/CSIRO, Australia)

- Fenrong Liu (Tsinghua University, China)



Program Chairs

- Duc Nghia Pham (MIMOS Berhad, Malaysia)

- Thanaruk Theeramunkong (Thammasat University, Thailand)



Local/Virtual Organising Chairs

- Sankalp Khanna (CSIRO, Australia)

- Adila Alfa Krisnadhi (University of Indonesia, Indonesia)



Workshop Chair

- Dengji Zhao (ShanghaiTech University, China)



Tutorial Chair

- Guandong Xu (UTS, Australia)



Industry Chair

- Shiyou Qian (Shanghai Jiaotong University, China)



Supporting Organisations

----------------------------



Data61/CSIRO, Australia

Tsinghua University, China

MIMOS Berhad, Malaysia

Thammasat University, Thailand



Contact

--------



All questions about submissions should be emailed to pricai2021@gmail.com"
1624306752-400,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=2,"IEEE--ICACTE--Ei Compendex, Scopus 2021",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=126183&copyownerid=13881,"Full Name: *The 14th International Conference on Advanced Computer Theory and Engineering*

Abbreviation: ICACTE 2021

   



*The 14th International Conference on Advanced Computer Theory and Engineering (ICACTE 2021)*

              September 17-19, 2021 | Hangzhou Dianzi University, Hangzhou, China

                     www.icacte.org



Since 2008, the International Conference on Advanced Computer Theory and Engineering has been successfully held 13 sessions in South Korea, Germany, Singapore, China, Egypt, Indonesia and other countries. ICACTE 2020 has been held online successfully during September 18-20, 2020 because of the COVID-19.





*Publication*

Submitted papers will be peer reviewed by program committees, and accepted papers after registration and presentation will be published in the ICACTE 2021 Conference Proceedings by IEEE CPS, submitted for inclusion into IEEE Xplore and indexed by EI Compendex and Scopus.



Conference proceedings of ICACTE 2020 has been index by Ei Compendex and Scopus.





*Call for Papers*

Algorithms; Bio-informatics; Data Mining; Data Encryption; Digital Library; Control Systems; Computing Ethics; Computer Vision; Computer Security; Computer Networks; Database Systems; Parallel and Distributed Computing; Ubiquitous Computing;  etc. For more topics, please visit http://www.icacte.org/cfp.html.



*Submission Instructions*



   English is the official language of the conference; the paper should be written and presented only in English.

   Abstract (200-300 words) submission for presentation only without publication.

   Full paper (no less than 8 Pages) submission is required for Publication and Presentation.

   Submission:

    ▪By online submission system: http://confsys.iconf.org/submission/icacte2021

    ▪By Email:icacte@iacsit.org



*General Program*



Day 1 - Friday - September 17, 2021

10:00-17:00 | Registration & Materials Collection 

14:00-17:00 | Campus Tour



Day 2 - Saturday - September 18, 2021 

09:00 - 09:05 | Opening Remark

09:05 - 11:50 | Keynote Speeches

12:00 - 13:30 | Lunch

13:30 - 18:00 | Parallel Sessions

18:30 - 20:30 | Award Ceremony & Dinner Banquet



Day 3 - Sunday - September 19, 2021

09:00 - 18:00 | One Day Tour in Hangzhou





*Contact*

Conference secretary: Ms. Luna Wu

E-mail: icacte@iacsit.org    

Tel:+86-18000547208

WeChat: iacsit2009 

Office Time: 9:30--18:00, Monday to Friday (GMT+8 Time Zone)"
1624306556-325,http://www.wikicfp.com/cfp/call?conference=artificial%20intelligence&page=5,NATL 2021,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=133883&copyownerid=46167,"7th International Conference on Natural Language Computing (NATL 2021)November 27 ~ 28, 2021, London, United KingdomScope & Topics 7th International Conference on Natural Language Computing (NATL 2021)  wwill provide an excellent international forum for sharing knowledge and results in theory, methodology and applications of Natural Language Computing. The Conference looks for significant contributions to all major fields of the Natural Language Computing in theoretical and practical aspects.

Authors are solicited to contribute to the conference by submitting articles that illustrate research results, projects, surveying works and industrial experiences that describe significant advances in the following areas, but are not limited to.
Topics of Interest Phonology, Morphology

Chunking/Shallow Parsing

Parsing/Grammatical Formalisms

Semantic Processing

Lexical Semantics

Ontology

Linguistic Resources

Statistical and Knowledge based Methods

POS Tagging

Discourse

Paraphrasing/Entailment/Generation

Machine Translation

Information Retrieval

Text Mining

Information Extraction

Question Answering

Dialog Systems

Spoken Language Processing

Speech Recognition and SynthesisPaper SubmissionAuthors are invited to submit papers through the conference Submission system by June 26, 2021.Submissions must be original and should not have been published previously or be under consideration for publication while being evaluated for this conference. The proceedings of the conference will be published by Computer Science Conference Proceedings in Computer Science & Information Technology (CS & IT)series (Confirmed).Selected papers from NATL 2021, after further revisions, will be published in the special issue of the following journal.International Journal of Computer Networks & Communications (IJCNC)  - ERA Listed, Scopus IndexedInternational journal of computer science & information Technology (IJCSIT) - INSPEC IndexedInternational Journal on Natural Language Computing (IJNLC)International Journal on Information Theory (IJIT)International Journal on Computational Science & Applications (IJCSA)International Journal of Web & Semantic Technology (IJWesT)Important Dates Submission Deadline:June 26, 2021 Authors Notification:August 28, 2021Registration & Camera-Ready Paper Due :September 08, 2021Co - Located Event7th International Conference on Data Mining and Database Management Systems (DMDBS 2021)7th International Conference on Computer Science, Engineering and Applications (CSEA 2021)7th  International Conference on Fuzzy Logic Systems (Fuzzy 2021)7thInternational Conference on Information Technology Converge Services (ITCON 2021)7th International Conference on Signal, Image Processing and Embedded Systems (SIGEM 2021)5th International Conference on Networks & Communications (NETWORKS 2021) ***** The invited talk proposals can be submitted to natl@csea2021.org"
