web-scraper-order,web-scraper-start-url,cfp_link,cfp_link-href,cfp_text
"1624356046-1429","http://www.wikicfp.com/cfp/call?conference=healthcare&page=8","CyberCare 2016","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=53151&copyownerid=61987","CyberCare 2016

The 1st International Workshop on Cyber Healthcare (CyberCare 2016)  



http://www.cyberhealthcare.org/



Submit your manuscript to:



https://easychair.org/conferences/?conf=cybercare2016



The 1st International Workshop on Cyber Healthcare 2016 (CyberCare) is an international forum dedicated to the advancement of the theory and practical implementation of Cyberspace in HealthCare. CyberCare intends to provide the state-of-the-art technologies in the broad areas of Cyberspace techniques in healthcare to industry, researchers, physicians, engineers, and students. CyberCare will be held in Auckland, New Zealand (8-12 August 2016) in conjunction with the 2016 Cyber Science and Technology Congress (CyberSciTech 2016).



Scope: 



Cyberspace brings together physical, social and mental spaces. Furthermore, cyberspace is shaping daily life with respect to work, education, entertainment, business, health, and cultural issues. Cyberspace brings new challenges that need to be tackled such as cyber healthcare. To address these endlessly rising challenges, there is a need to establish new sciences and research portfolios in order to integrate cyber-physical, cyber-social and cyber-mental together into the vision of Cyber Healthcare. Cyber Healthcare aims to secure the healthcare systems, hospitals, patients against emerging threats and vulnerabilities, and sustaining privacy and trust. CyberCare aims to provide a highly professional and comparative academic research forum that promotes collaborative excellence between academia and industry. 



CyberCare offers a common platform for scientists, researchers and engineers to exchange their latest ideas and outcomes on healthcare information technologies, healthcare systems and global e-healthcare security and privacy applications. It is also a venue to exchange the latest advances in cyber healthcare studies with the broad scope of cyber-related sciences, technologies and applications topics. CyberCare invites speakers and researchers to submit papers that encompass conceptual analysis, design implementation and performance evaluation. All submitted papers are peer-reviewed (blind reviewed). The topics of interest include, but are not limited to:

•	Cyber Security and Privacy in Healthcare

•	Anonymity and Authentication in Healthcare 

•	Biometrics in Cyberspace

•	 Social Engineering in Cyber Healthcare

•	Patient Profiling and e-Safety

•	Secure Mobile Technologies

•	Secure Electronic Health Records 

•	Medical Errors Prevention in Cyberspace

•	Database Security for Cyber Healthcare

•	Cyber Healthcare Modeling

•	Malware in Cyber Healthcare

•	Auditing and Quality Management



Submission:

Submit your manuscript to:



https://easychair.org/conferences/?conf=cybercare2016



Authors are invited to submit their original research work that has not previously been submitted or published in any other venue. Submitted papers need to abide by IEEE Computer Society formats. Final papers must be formatted accordingly (see “IEEE Manuscript Templates”).

All accepted papers will be published in IEEE Computer Society proceedings (EI indexed). Extended versions of selected excellent papers will be considered for publication in special issues of prestigious journals (SCI/EI indexed). The number of pages for workshop papers is limited to 6 pages in IEEE CS format.

Please,

•	Do not make any changes to the structure of the template as this can lead to production errors.

•	Do not alter the formatting and style layouts which have been set up in the template.

•	Add the names of all authors and their affiliations.

•	Add the phone number, fax number and email address of the corresponding author only at the bottom of the first page.

Authors should submit their contributions electronically in PDF format at: https://www.easychair.org/

The submission processes will be managed by easychair.org. If you have used this system before, you can use the same username and password. If this is your first time using EasyChair, you will need to register for an account by clicking ""I have no EasyChair account"" button. Upon completion of registration, you will get a notification email from the system and you are ready for submitting your paper. You can upload and re-upload the paper to the system by the submission due date.

All CyberCare workshops accepted papers will be printed in the conference proceeding."
"1624355940-1390","http://www.wikicfp.com/cfp/call?conference=healthcare&page=10","ICORR 2015","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=43510&copyownerid=40277","We are glad to invite you to the 14th edition of the IEEE/RAS-EMBS International Conference on Rehabilitation Robotics (ICORR 2015) , the biannual conference on theoretical and experimental issues in the fields of Rehabilitation Robotics and neuroscience applied to Healthcare. This year the conference will be held in Singapore and hosted by Nanyang Technological University (NTU) on 11th-14th August 2015.

The ICORR2015 will share the event with ICREATE (International Conference on REhabilitation and Assistive TEchnology) and SeriousGAMES conferences and they will run concurrently and in the same convention venue.

The confluence of all stakeholders engineers, physicians, industry, government, patients, and caregivers will be unique but in line with United Nations 2012 unanimous decision to make healthcare and rehabilitation a human right.



website:

http://www.icorr2015.enabling-technology-festival.org/



ICORR covers several disciplines with both theoretical and experimental challenges in robotics, control engineering and neuroscience applied to healthcare. Primary focus is to propose cutting edge solutions to boost the rehabilitation process, providing robotic assistance to address and speed motor recovery , trying to unveil the mechanisms underlying brain plasticity. Profound understanding of how neurological impairments can be treated reinserting people in the society is the main question we aim to answer with the purpose of providing the Health System with technological instruments to assist human beings in prevention, diagnosis, rehabilitation and personal assistance.



The technical program of IEEE ICORR2015 will be single track consisting of invited talks, special sessions, posters, and paper presentations.

Furthermore for the first time this year a 1-day preconference tutorial will be organized to introduce the young students in the topic of rehabilitation robotics and neuromotor recovery.



Papers can cover areas of Rehabilitation Robotics, Haptics, Assistive technology, behavioral studies and psychophysics :



•        Wearable assistive devices

•        Behavioral Neuroscience

•        Biologically-inspired assistive systems

•        Rehabilitation and assistive robotics

•        Human-machine interaction

•        Neuro-robotics

•        Prosthetic devices

•        Locomotion and manipulation assistance

•        Technology Assessment, Ethical and Social Implications



The venue for the conference is the Nanyang Technological University in Singapore, one of the most futuristic and dynamic cities of ASIA and all over the world.



Wei Tech ANG (General Chair)                                    

Lorenzo MASIA(Scientific Programme Chair)"
"1624356285-1517","http://www.wikicfp.com/cfp/call?conference=healthcare&page=4","COLLAB 2020","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=98896&copyownerid=110304","Scope



“Partnership working in community-based health promotion can bring about fruitful and sustainable benefits for those involved. Although it takes some time to nurture relationships, when facilitated effectively, collaborative work can enable more systemic ways of working towards health promotion and community development.”



Successful partnership is essential for collaborative health design research in both clinical and community settings. Engaging community, clinical, or organizational partners often leads to diverse perspectives, access to a wider range of resources and participants, and access to different types of expertise. Much of the literature across HCI notes the benefits of collaboratively engaging end users in health design, and a select few studies have examined benefits of engaging clinical healthcare personnel and community advocates as stakeholders in design. While codesign with intended end users has become an area well explored in the pervasive health and HCI spaces, in-depth explorations of the challenges and experiences of collaborative design research with community, clinical, and organizational partners is an area that deserves attention. Additionally, as building these partnerships can be challenging, there is a need to establish best practices in this research approach. The objective of this workshop is to share collective knowledge of how to build and sustain successful and mutually beneficial collaboration with community, clinical, and organizational partners when engaging in codesign health research.



***



Workshop Goals



The objective of this workshop is to establish a working set of strategies and approaches to engaging clinical, community, and organizational partners in codesign research. Participants will share experiences and best practices for engaging different community and clinical stakeholders in the design of healthcare technologies. Our goal is to understand the first-hand experiences and perspectives of different stakeholders (designers, developers, community members, organizations) involved in collaborative design of healthcare solutions. We seek to reflect on critical questions related to codesign partnerships in health research such as:



What are the benefits and challenges of partnering with different types of stakeholders in healthcare design (community, clinical, interdisciplinary team members)?

- What are examples of successful partnerships and collaborations? What do these look like?

- What are strategies for building and sustaining mutually beneficial partnerships and collaborations?

- How do we create true environments for collaboration? How can we support understanding of different roles and needs among stakeholders involved?

- How do we manage dissemination to different venues and organizations? How can we leverage partnership to maximize research impact?



Thus, the overall objectives of the workshop are to:



Foster a deeper understanding of the dynamics of building partnerships and collaborations for healthcare design research.

Share common challenges and strategies for overcoming challenges when building and partnering with clinical and community stakeholders.

Establish an initial set of best practices for engaging clinical and community partners is design research.

Initiate a dialogue around how to implement these strategies and best practices through future research



***



Submission Instructions



We invite workshop participation through contributions that respond to one or more of the following research questions in 4-5 pages using the ACM 2-column format:



- What are strategies for building mutually beneficial partnerships?

- How do we overcome challenges in partnership relationships?

- How do we sustain partnerships overtime?

- What are useful dissemination strategies for maximizing research impact?

- How do we overcome the challenges of sharing across disciplines and to the public?



We ask that authors describe their process of creating partnership, lessons learned, and reflections of how to improve moving forward. We will also consider research setting and types of collaborations/partnerships described in an attempt to invite participants that can share diverse experiences and perspectives. Workshop Papers will be published in a dedicated section of the Pervasive Health Conference Proceedings. Content presented in workshop papers should not be published or under submission elsewhere, though maybe works-in-progress for larger research efforts. All submissions will be reviewed by the Program Committee. Submissions must adhere to the double-column ACM format using SIGCHI template. Proceeding templates must be used for preparing the submissions (Word and LaTeX templates are available at https://www.acm.org/publications/proceedings-template). Please follow the instructions available at http://pervasivehealth.org/authors-kit/.



***



Workshop Organizers:



Aqueasha Martin-Hammond

Assistant Professor, School of Informatics and Computing

Indiana University-Purdue University Indianapolis

Indianapolis, IN

aqumarti@iupui.edu



Christina N. Harrington

Assistant Professor, School of Design

DePaul University

Chicago, IL

charri89@depaul.edu



Gabriela Marcu

Assistant Professor, School of Information

University of Michigan

Ann Arbor, MI

gmarcu@umich.edu"
"1624355923-1383","http://www.wikicfp.com/cfp/call?conference=healthcare&page=10","ITC 2014","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=37576&copyownerid=63955","Indian Technology Congress (ITC) is a leading forum for the convergence of thought leaders in engineering and technology, eminent scientists and business professionals engaged in developing and harnessing technology-intensive solutions for societal challenges. ITC 2014 with the theme “Advanced Technology as Change Agent to Make India an Economic Superpower” follows the highly successful ITC-2013 with the theme “Towards Making India a Hub of Knowledge and Innovation”.

ITC 2014 envisaged to be a comprehensive event with the presentation of the 2nd Technology Leadership Awards, Exhibition of innovations and technologies that help achieve the goal of harnessing Advanced Technologies as Change Agents to make India an Economic Superpower, parallel thematic tracks over two days to share though leadership, and a forum for young Innovators to share knowledge and present papers.





Papers are invited on the theme and/or on topics of the ITC 2014 Conference thrust areas, but not limited to the same. Authors are requested to submit abstract(s) of about 300 words in the prescribed format only. Decision of acceptance or rejection of the paper/s will be conveyed after scrutiny of the abstract by Technical review Committee. Authors will have to register as Delegate -  Research Scholar to present their selected paper/s in the Conference. Only abstracts of full papers will be published for distribution at the Conference. Authors can email the Abstract on or before 07 August 2014 to The Organising Secretary, Indian Technology Congress-2014. (papers@techcongress.net) www.techcongress.net



Important Dates

Last Date for receipt of Abstract 		:	07 August 2014

Information of Provisional Acceptance 		: 	09 August 2014

Last date for receipt of Full Length Paper	:	12 August 2014

Communication of Acceptance for Full Paper	:	14 August 2014





Sectors

•	Energy

•	Aerospace

•	Healthcare

•	MSME



Technologies:

•	Materials

•	Management Tools

•	Sensors

•	Communications and Controls

•	Product Development

•	Micro Systems

•	Power Systems

•	Manufacturing and ICT





Participation

The  Registration Fee payable by registered

delegates are;

Industry Delegates  Rs. 5,000/-

Academicians & Professional Institutions Rs. 3,000/-

Research Scholars*  Rs. 2,000/-

Students** Rs. 1,000/-

International Delegates $250.00

For availing concession on Group Registration, 

please contact Congress Secretariat.

For further details please visit  www.techcongress.net"
"1624355784-1334","http://www.wikicfp.com/cfp/call?conference=healthcare&page=13","DANTH 2013","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=26652&copyownerid=44202","[Apologies if you receive this more than once]



##################################################################

              The First International Workshop on 

       Data Analytics for Targeted Healthcare (DANTH '13)

            Gold Coast, Australia 14 April 2013



                    	CALL FOR PAPERS

##################################################################



The first International Workshop on Data Analytics for Targeted 

Healthcare (DANTH '12)In Conjunction with the 17th Pacific-Asia 

Conference on Knowledge Discovery and Data Mining, Gold Coast, 

Australia, 14 April, 2013. 



Homepage: http://www.sci.usq.edu.au/danth13



##################################################################

# Full paper submission:       *** 30 December 2012 ***

# Notification of acceptance:      31 January 2013

# Camera-ready submission:         15 February 2013

# Workshop:                        14 April 2013

##################################################################



To succeed in transforming healthcare, many countries will need to 

move to more targeted healthcare. Successful migration must encourage 

innovation, provide access to more complete patient information and 

incorporate advanced clinical knowledge into clinical decision-making. 

Aiming at successfully transforming healthcare, some interdependent 

challenges need to be overcome, such as prevalence of tightly coupled 

applications and data; inadequate data and knowledge standards; 

insufficient analytics capabilities; unsatisfactory security and 

privacy methodologies; absence of a clinical decision-making foundation. 

Knowledge discovery and data mining techniques, especially data 

analytics, have been proven holding much promise for solving these 

problems. Providers can use health care data analytics to learn about 

patient populations, enhance preventive care and drive business 

decisions by accessing key data such as demographics and chronic 

conditions. Therefore, nowadays the healthcare industry requires a much 

more open, robust health information technology environment than ever 

existed, especially the techniques and methodologies in knowledge 

discovery and data mining.



Targeting on these interesting questions, the workshop focuses on how 

data analytics can improve information management in healthcare. The 

workshop will bring together researchers from different countries and 

regions to foster dissemination, increase the share of knowledge cross 

different domains, and strengthen the research on data analytic 

techniques and related applications to healthcare problems. 



+++++++++++++++++++

Topics of Interest

+++++++++++++++++++



TOPICS AND AREAS INCLUDE, BUT NOT LIMITED TO



 - Healthcare Management Systems

 - Databases and Data Management

 - Data mining, knowledge discovery, decision making support

 - Pattern recognition, Sequence Analysis, and Machine Learning

 - System interoperability, ontology and standardization

 - Bioinformatics

 - Brain informatics

 - Image Analysis and Processing

 - Neural Networks

 - Medical Signal Acquisition, Analysis and Processing

 - Telemedicine

 - Semantic Interoperability

 - Health information visualization

 - Computational Molecular Systems

 - Support tools and languages for health information-system development

 - Medical Data Collection and Processing

 - Human-Machine Interface / Ambient Intelligence

 - Modelling of Physical and Conceptual Information 

 - User Profiles and Personalised Healthcare

 - Social, Privacy, and Security Issues in Healthcare

 - Evaluation and use of Healthcare IT

 - Software Systems in Medicine

 - Pervasive Health Systems and Services

 - Practice-based Research Methods for Healthcare IT

 - Web Services in Bioinformatics

 - Fuzzy Systems and Signals

 - Infodemiology, public health surveillance 





++++++++++++++++++++++++++++++++++++

On-Line Submissions and Publication

++++++++++++++++++++++++++++++++++++



Each submitted paper should include an abstract up to 200 words. It 

should not longer  than 12 single-spaced pages with 10pt font size. 

Authors are strongly encouraged to use Springer LNCS/LNAI manuscript 

submission guidelines (http://www.springer.de/comp/lncs/authors.html) 

for the initial submissions. The workshop proceedings in Springers 

LNAI series will be post  conference and published in the second half 

of 2013.



Submitting a paper to the workshop means that if the paper is accepted, 

at least one author should attend the workshop to present the paper.



++++++++++++++++++++++++

Special Issue

++++++++++++++++++++++++



Health Information Science and Systems, Biomed and Springer 

(http://www.hissjournal.com/)



++++++++++++++++++++++++

Organising Committee

++++++++++++++++++++++++



GENERAL CHAIR

 * Yanchun Zhang     Victoria University, Australia

 * Michael Ng        Hong Kong Baptist University, China



PROGRAM CO-CHAIR

 * Xiaohui Tao       University of Southern Queensland, Australia

 * Guandong Xu       University of Technology, Sydney, Australia

 * Yidong Li         Beijing Jiaotong University, China

 * Hongmin Cai       South China University of Technology, China



PROGRAM COMMITTEE (To Be Extended)



 * Ling Chen         University of Technology, Sydney

 * Peter Dolog       Aalborg University, Denmark

 * Yan Li            University of Southern Queensland, Australia 

 * Xue Li            University of Queensland, Australia

 * Chaoyi Pang       CSIRO, Australia

 * Jeffrey Soar      University of Southern Queensland, Australia 

 * Weifeng Su        United International College, China

 * Guoyin Wang       Chongqing Uni of Posts and  Telecom, China

 * Xin Wang          University of Calgary, Canada

 * Zhiang Wu         Nanjing University of Finance and Economics, China

 * Zongda Wu         Wenzhou University, China

 * Xiaoyin Xu        The Brigham Women’s Hospital, USA

 * Yue Xu            Queensland University of Technology, Australia

 * Zhenglu Yang      University of Tokyo, Japan

 * Neil Yen          The University of Aizu, Japan

 * Yanchang Zhao     RDataMining.com, Australia

 * Xiaobo Zhou       The Methodist Hospital, USA



++++++++++++++++++++++++

Contact Information

++++++++++++++++++++++++



 * Xiaohui Tao        xtao@usq.edu.au

 * Guandong Xu        guandong.xu@uts.edu.au

 * Yidong Li          ydli@bjtu.edu.cn

 * Hongmin Cai        hmcai@scut.edu.cn"
"1624355982-1405","http://www.wikicfp.com/cfp/call?conference=healthcare&page=9","CLIP 2015","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=45986&copyownerid=36554","CALL FOR PAPERS

MICCAI 2015 Workshop on

Clinical Image-based Procedures: Translational Research in Medical Imaging





October 5, 2015

Munich, Germany



Website:http://miccai-clip.org/

==============================

==========================================



SCOPE



 The outstanding proliferation of medical image applications has created a need for greater study and scrutiny of the clinical application and validation of such methods. New strategies are essential to ensure a smooth and effective translation of computational image-based techniques into the clinic. For these reasons CLIP 2015’s major focus is on translational research filling the gaps between basic science and clinical applications. A highlight of the workshop is the subject of strategies for personalized medicine to enhance diagnosis, treatment and interventions. Authors are encouraged to submit work centered on specific clinical applications, including techniques and procedures based on comprehensive clinical image data. Submissions related to applications already in use and evaluated by clinical users are particularly encouraged. The event will bring together world-class specialists to present ways to strengthen links between computer scientists and engineers, and clinicians.





TOPICS



*Strategies for patient-specific and anatomical modeling to support planning and interventions



*Clinical studies employing advanced image-guided methods



*Clinical translation and validation of image-guided systems



*Current challenges and emerging techniques in image-based procedures



*Identification of parameters and error analysis in image-based procedures



*Multimodal image integration for modeling, planning and guidance



*Clinical applications in open and minimally invasive procedures









PAPER SUBMISSION



Papers will be limited to eight pages following the MICCAI submission guidelines. Prospective authors should refer to the Paper Submission section on the workshop website for details on how to submit papers to be presented at the workshop.

All submissions will be peer-reviewed by at least 2 members of the program committee. The selection of the papers will be based on the significance of results, novelty, technical merit, relevance and clarity of presentation. Papers will be presented in a day long single track workshop starting with plenary sessions.

Accepted papers will be published as a post-proceedings volume in the Springer Lecture Notes in Computer Science (LNCS) series after the workshop.



WORKSHOP FORMAT



Accepted papers will be presented in a day long single track workshop. The final program will consist of invited speakers and original papers with time allocated for discussions. Electronic proceedings will be arranged for all of the papers presented at the workshop.



IMPORTANT DATES



* June 29, 2015: Paper submission due date

* July 17, 2015: Notification of acceptance



CONTACT



Inquires about the workshop should be sent to the Information Desk (info@miccai-clip.org).



ORGANIZERS (in alphabetical order)



Klaus Drechsler (Fraunhofer IGD, Germany)

Marius Erdt (Fraunhofer IDM@NTU, Singapore)

Miguel González Ballester (ICREA - Universitat Pompeu Fabra, Spain)

Marius George Linguraru (Children's National Medical Center, USA)

Cristina Oyarzun Laura (Fraunhofer IGD, Germany)

Yoshinobu Sato (Nara Institute of Science and Technology, Japan)

Raj Shekhar (Children's National Medical Center, USA)

Stefan Wesarg (Fraunhofer IGD, Germany)



========================================================================"
"1624355670-1294","http://www.wikicfp.com/cfp/call?conference=healthcare&page=15","MobiHealth 2011","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=15687&copyownerid=23493","The objectives of this conference are to advance medical diagnosis, treatment, and patient care through application of wireless communications, mobile computing and sensing technologies. It aims to provide an international forum to bring together researchers and experts from academia, healthcare organizations, research institutions, and industrial enterprises working in the field of wireless communication and health care to share ideas and discuss cutting-edge research, present experience with recent developments in healthcare delivery, and to provide practical guidance to policy makers and the setting of applicable standards.



Original unpublished contributions are solicited that can improve the knowledge, understanding and practice in the interdisciplinary design of efficient protocols and technologies to help implement and provide advanced mobile health care applications.



The topics of interest include but not restricted to

Emergency and disaster applications

Specialty and site specific applications

Wearable, outdoor and home based applications

Sensing of vital signs and signatures

Intra-body propagation and communication

Mobile devices for patient monitoring

Measurement and monitoring technologies

Decision support algorithms for sensor analysis

Transmission of patient data

Ad hoc and sensor systems and networks

Real-time transmission of multiple medical data

Healthcare telemetry and telemedicine

Secure and high quality networks

Ad hoc wireless networks for enhanced monitoring

Remote diagnosis and patient management

Accuracy and reliability of diagnoses

Home and rural environments

Novel mobile encryption technologies

Coding and communication standards

Identity and privacy enhancing technologies

Mobile data management and processing

Wireless access in ubiquitous systems

Wearable computing and communication

Wireless and wearable devices for pervasive healthcare

Mobile and wireless technologies for healthcare delivery

Sensor networks for pervasive healthcare

Patient monitoring in diverse environments (hospitals, nursing homes, assisted living)

Radio-Frequency Wireless Technology in Medical Devices

Medical Device Control Via Wireless Technology

Safe, Effective, Secure and Reliable Use of Wireless Technology in healthcare"
"1624355826-1347","http://www.wikicfp.com/cfp/call?conference=healthcare&page=12","WMCCH 2013","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=29915&copyownerid=49375","The First Workshop on Mobile Cloud Computing in Healthcare (WMCCH)



Key Dates



    * Workshop Papers Due: June 1, 2013

    * Notification of Acceptance: June 8, 2013

    * Camera Ready: June 14, 2013 (hard deadline)

    * Workshop Date: September 11, 2013 (tentative)



Venue

    * Philadelphia, PA, USA



The first workshop on mobile cloud computing in healthcare will be held in Philadelphia, PA, in conjunction with IEEE International Conference on Healthcare Informatics (ICHI) 2013. Please refer to the main conference website (http://www.ischool.drexel.edu/ICHI2013/) for more information. 





Call for papers



Pervasive high speed wireless networks, powerful mobile devices, and scalable cloud computing resources has led to the rise of a new area typically known as mobile cloud computing (MCC). In a MCC ecosystem, all three technologies are seamlessly combined together, giving rise to new applications. A mobile cloud computing for healthcare (MCCH) system is a specific MCC system that focuses on healthcare and wellness applications.



Healthcare informatics require systems with stringent requirements (security, reliability, fault tolerant, QoS, etc.). The objective of this workshop is to provide a forum for scientists, researchers, and practitioners working in the areas of MCC in healthcare to share and exchange ideas, experiences, and lessons learnt.



Note that submissions do not need to incorporate all three areas (mobile, cloud, wireless), but must be related to healthcare.



Topics of interest for this workshop include, but are not limited to:



    * MCCH prototype systems

    * Programming models for MCCH applications

    * Security and privacy for regulatory compliance and/or novel threats to MCCH applications

    * Algorithmic foundations for MCCH applications

    * Algorithms and techniques to provide and validate Quality of service (QoS) for MCCH applications

    * Fault tolerant, resilient systems, algorithm, and protocol design for MCCH applications

    * Coexistence of heterogeneous systems (e.g. wireless standards, hardware, etc) in MCCH systems

    * Real world MCCH application deployment experiences and lessons

    * Data management, cleaning, and mining of MCCH generated data streams

    * Health information technology (HIT) and MCCH



Submission instructions



Papers must adhere to the IEEE Proceedings Format available for LaTex and Word. Changing the template’s font size, margins, inter-column spacing, or line spacing is prohibited. Each paper must be submitted as a single PDF file, formatted for 8.5″ x 11″ paper. The page limit is no more than 6 pages.



All paper submissions will be handled electronically by the EasyChair conference management system. Papers should be submitted via the EasyChair WMCCH2013 page: https://www.easychair.org/conferences/?conf=wmcch2013





Organization



General Chair

    * Chiu C. Tan   Temple University



Vice Chair

    * Mengjun Xie   University of Arkansas at Little Rock



Program Committee

    * Vandana Janeja, University of Maryland-Baltimore County, USA

    * Aravind Kailas, University of North Carolina at Charlotte, USA

    * Yantao Li, Southwest University, China

    * Imad Mahgoub, Florida Atlantic University, USA

    * Linh Thi Xuan Phan, University of Pennsylvania, USA

    * Upkar Varshney, Georgia State University, USA

    * Jinyuan Sun, University of Tennessee-Knoxville, USA

    * Jun Suzuki, University of Massachusetts Boston, USA

    * Laurie Williams, North Carolina State University, USA

    * Mengjun Xie, University of Arkansas-Little Rock, USA



Steering Committee Chair

    * Jie Wu   Temple University



For further queries, please contact Dr. Chiu C. Tan at cctan@temple.edu"
"1624356186-1479","http://www.wikicfp.com/cfp/call?conference=healthcare&page=6","H3IT 2018","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=78554&copyownerid=122183","H3IT is the preeminent technology conference addressing innovative approaches to home health and hospice. I am writing to invite you to submit an abstract for a presentation in the Practice Track or the Research Track for the conference. The submission deadline is August 1, 2018.



This year, H3IT will be a pre-conference at the NAHC 2018 Annual Meeting and Exposition to increase engagement between providers and technology researchers and vendors, and make it convenient to attend both events.



Information about submitting an abstract for a presentation is here: https://h3it.org/submissions.html

Information about registration for H3IT is here: https://h3it.org/registration.html

Sponsorship opportunities are affordable! Available here: https://h3it.org/sponsorship.html

I hope to see you there!



More About H3IT 2018



H3IT 2018 will be the fifth annual international conference for all stakeholders interested in innovative approaches to home healthcare, hospice, and information technology. Building upon the success of the first four years, the conference provides an authoritative forum where evidence-based findings, information, and tools are communicated to achieve better health outcomes, quality of care, utilization of and access to care, and reduced care costs in home and hospice care settings. H3IT's interdisciplinary and applied elements make the conference highly relevant to the patients, providers, payers, vendors, and governments.



Information and proceedings from previous conferences can be found here: https://h3it.org."
"1624356063-1435","http://www.wikicfp.com/cfp/call?conference=healthcare&page=8","ICTH 2016","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=51814&copyownerid=77737","Conference: The 6th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare 







Date:  September 19-22, 2016 



Location: London, United Kingdom



Website: http://cs-conferences.acadiau.ca/icth-16/







Important Dates 



------------------ 



- Workshop Proposals:        March 10, 2016



- Paper Submission Due:    May 31, 2016

- Acceptance Notification:  June 20, 2016



- Final Manuscript Due:      July 20, 2016









ICTH is a premier venue for bringing together multi-disciplinary researchers, professionals and practitioners from academia and healthcare who are engaged in different facets of ICT and healthcare. The conference encourages innovative research contributions providing the recent significant developments and promising future trends of ICT based applications, systems, tools, environments and infrastructures in the fields of health/medical care, and related domains, such as public health and pharmaceuticals. Papers on either completed or ongoing research are invited in the following and related topics of interests.



ICTH 2016 will held at the University of Surrey in London, United Kingdom. The University of Surrey is based in Guildford, in the South East of England. It is easily accessible by road and rail, and is a short distance from both Heathrow and Gatwick airports. The main University campus, Stag Hill, is situated close to the Guildford mainline train station and within a short walk of the town centre. 







ICTH-2016 will be held in conjunction with the 7th International Conference on Emerging Ubiquitous Systems and Pervasive Networks (EUSPN: http://cs-conferences.acadiau.ca/euspn-16/).







Accepted papers will be published by Elsevier Science in the open-access Procedia Computer Science series (on-line). Procedia Computer Science is hosted by Elsevier on www.Elsevier.com and on Elsevier content platform ScienceDirect (www.sciencedirect.com), and will be freely available worldwide. All papers in Procedia will be indexed by Scopus (www.scopus.com) and by Thomson Reuters' Conference Proceeding Citation Index (http://thomsonreuters.com/conference-proceedings-citation-index/). All papers in Procedia will also be indexed by Scopus (www.scopus.com) and Engineering Village (Ei) (www.engineeringvillage.com). This includes EI Compendex (www.ei.org/compendex). Moreover, all accepted papers will be indexed in DBLP (http://dblp.uni-trier.de/). The papers will contain linked references, XML versions and citable DOI numbers. You will be able to provide a hyperlink to all delegates and direct your conference website visitors to your proceedings. 







We invite submissions on either completed or ongoing work. Submitted papers must be no longer than 8 pages for full papers, 5 pages for short papers and 4 pages for work in progress, including all figures, tables and references. We encourage students to submit short papers or works in progress, and welcome proposals on workshops in areas of special interest to participants. 







Topics of interest include, but are not limited to: 



------------------------------------------------------ 



- Ambient Assisted Living for Elderly Care



- Ambient Intelligence and Intelligent Service Systems



- Analysis and Evaluation of Healthcare Systems



- Clinical Data and Knowledge Management



- Cloud Computing for Healthcare



- Collaboration Technologies for Healthcare



- Context-aware Applications for Patient Monitoring and Care



- Data mining Techniques and Data Warehouses in Healthcare



- Data Visualization



- Decision Support Systems in Healthcare



- Drug Information Systems



- Design and Development Methodologies for Healthcare Systems



- Diagnostic and Therapeutic Technologies in Healthcare



- Digital Hospitals



- E-health & m-health



- Electronic Health Records (EHR) & Personal Health Records (PHR)



- Evidence Based Medicine (EBM)



- Healthgrids



- Health Portals



- Information and Knowledge Processing in Healthcare Environments



- Middleware Support for Smart Homes and Intelligent Applications



- Privacy, Confidentiality and Security Issues in Healthcare Systems



- Related Real World Experimentations and Case Studies in Healthcare



- RFID Solutions for Healthcare



- Smart Homes and Home Care Intelligent Environments



- Telemedicine and Health Telematics



- Ubiquitous and Pervasive Computing in Healthcare



- Usability & Socio Technical studies



- User Interface Design for Healthcare Applications



- Virtual and Augmented Reality in Healthcare



- Virtual Environments for Healthcare 







Committees 



------------- 



General Chair



  Heiko Gewald, The Neu-Ulm University of Applied, Germany

  Geyong Min, University of Exeter, UK





Program Chairs

  Stéphane Galland, Université de Technologie de Belfort-Montbéliard, France

  Mohamed Khalifa, King Faisal Specialist Hospital and Research Center - Jeddah, KSA





Advisory Committee



  Sergio Camorlinga, Head eHealth Research, TRLabs, Canada



  Kevin Daimi, University of Detroit Mercy, USA



  Finn Kensing, University of Copenhagen, Denmark



  Francesco Princiroli, Politecnico di Milano, Italy



  Abdul Roudsari, University of Victoria, Canada







Workshops Chairs



  Philipp Brune, The Neu-Ulm University of Applied, Germany

  Nafaa Jabeur, German University of Technology, Oman 





Local Arrangements Chair



  Prashant Kumar, Surrey University, United Kingdom 





Publicity Chairs



  Wael M. El-Medany, University of Bahrain, Bahrain

  Nabil Sahli, German University of Technology, Oman"
