web-scraper-order,web-scraper-start-url,cfp_link,cfp_link-href,cfp_text
"1624355191-1235","http://www.wikicfp.com/cfp/call?conference=marketing&page=2","AJBE 2019","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=90837&copyownerid=152183","Greetings from AIUB Journal of Business and Economics (AJBE) of American International University Bangladesh (AIUB). The Editorial Board is pleased to inform you that the Volume 16, 2019 edition of the AJBE is due for publication in November 2019. In this regard, potential and esteemed authors are cordially invited to submit research-based articles/papers in the broader areas of Accounting, Finance, Banking, Business, Management and Economics. This journal is primarily devoted to the extension for further development and dissemination of knowledge in the field of Business and Economics for the benefit of the academia as well as for practicing enterprise managers and professionals.  This is also a platform for you to be known internationally since this publication is of international coverage. 



please submit your manuscript (soft copy) via our website: ajbe.aiub.edu. If you find any difficulties on online paper submission system, then directly send to ajbe@aiub.edu;  The call for paper poster and other guidelines are attached with this letter/email. Submission deadline: 15 July 2019."
"1624355122-1208","http://www.wikicfp.com/cfp/call?conference=marketing&page=3","ICMC 2016","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=54658&copyownerid=31491","International Conference on Media and Communication 2016 accepts the following types of submissions:



Research Papers: Completed research papers in any of the topic areas listed bellow or related areas.

Abstracts: Abstracts of completed or proposed research in any of the topic areas listed bellow, or related areas. The abstract for proposed research should include the research objectives, proposed methodology, and a discussion of expected outcomes.

Student Papers: Research done by students in any of the topic areas listed bellow, or related areas.

Case Studies: Case studies in any of the topic areas listed bellow, or related areas.

Work-in-Progress Reports or Proposals for Future Research: Incomplete research or ideas for future research in order to generate discussion and feedback in any of related areas.  

Reports on Issues Related to the conference topics: Reports related to innovative techniques or research related to any of the topic areas listed bellow or related areas.



Proposals are accepted on a rolling admission basis as long as space is available or by November 1st 2016 at latest and are to be be submitted along with application form. All submissions will be peer reviewed and acceptance/rejections is based on their relevance to the conference topics. Notification on acceptance is sent within 7 days after the submissions has been received.



Topics include, but ar not limited to:

            

Advertising

Alternative and Community Media

Business Communication

Communication Arts and Sciences

Communication and Democracy

Communication Policy and Regulation

Communication Technology and Digital Media

Communication Theory and Methodology

Corporate Identity and Branding

Cultural perspectives of communication

Digital Communication, Regulation and Social Action

Documentary and Propaganda Film

Gender, Youth and Communications

Global Networks

​Health Communication

History of Communication

Information and Communication Literacy ​

 International and Global Communication

Journalism

Law and Policy

       ​​

Mass Communication

Media Education

Media Ethics

Media and Democracy

Media and Globalization

Media Industry Trends and Dynamics

Media Management and Economics

Media, Religion and Culture

Multimedia

New Technologies and Innovation

Newspaper

Political Communication and Media

Public Relations

Radio, Television, and Entertainment Studies

Social Media

Society and Globalization and Media

Telecommunications

Visual Communication

Web-based Communications​"
"1624355238-1254","http://www.wikicfp.com/cfp/call?conference=marketing&page=1","SRC-MP 2021","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=124396&copyownerid=167344","Editors:

Jishnu Bhattacharyya (University of Nottingham) [Corresponding Editor]

MS Balaji (University of Nottingham)

Yangyang Jiang (University of Nottingham)

Jaylan Azer (University of Glasgow)

Chandana Hewege (Swinburne University of Tech.)

______________________________________________________________________





Dear Authors,

It is our pleasure to inform you that we are in the process of developing our upcoming book with Springer (Springer Nature). The proposed book is titled ""Socially Responsible Consumption and Marketing in Practice- Collection of Case Studies.""

 

We are looking forward to receiving your contribution.  Please refer to the following link for detailed information on our project: 



                      For more information visit: https://cutt.ly/Jj4cFnU



                      All proposals should be submitted to j.author.connect@gmail.com



We are open to collaborate with contributing authors to write specific chapters. The authors are encouraged to contact for collaborative work. We have a pool of well-published researchers who will be willing to write chapters collaboratively. 



All the Selected papers will be published in the upcoming book as a chapter contribution with Springer, a global publisher that serves and supports the research community. 



Submission Procedure

Academicians, research scholars, and practitioners are invited to submit their chapter proposals in the form of an abstract (300 words). 



All proposals should be submitted to j.author.connect@gmail.com.



Submissions should include authors' information (names, affiliations, emails, and short bios). All chapters are accepted based on a double-blind peer review editorial process. 



We accept full-length Case Studies, Compact Case Studies, Research Letters/ Short Reports, Practitioner articles, Commentaries, and Pedagogy Chapters on a topic within the Socially Responsible Consumption and Marketing domain.

Important Dates



 

(Early submissions are welcomed. The editors will try to share the 1st decision within 3 weeks of submission.)"
"1624355064-1187","http://www.wikicfp.com/cfp/call?conference=marketing&page=4","Symbiosis International Conference Pune 2015","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=41196&copyownerid=70711","The objective of the conference is to provide a forum to discuss, deliberate and conduct research based studies capturing the emerging trends in the global financial landscape. The two day Conference aims to provide a platform for academics, researchers, policy makers, practitioners and representatives of the corporate sector to share their practical experiences and research findings resulting in a better understanding of the global financial sector- the challenges and opportunities. The Conference will see the participation from eminent speakers representing a broad cross section of regulators, bankers, corporate and service providers."
"1624355004-1164","http://www.wikicfp.com/cfp/call?conference=marketing&page=5","JSR Special Issue 2012","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=19587&copyownerid=32131","Journal of Service Research calls for submissions for a special

interdisciplinary issue on IT-related service. Much of the radical transformation of the world economy from an industrial to a

post-industrial service society comes from the contribution of

information technology (IT) to service sectors and from IT as

service. This special issue is multidisciplinary in nature as

many disciplines play a role in the service economy. We invite

scholars from marketing, information systems, operations management, human resources, finance/accounting, economics,

and organizational research to submit papers on IT-related service. We are particularly interested in papers that consider the

productivity and quality of IT-related service and focus on the

relationship with customers (including B2C, B2B and C2C), in

contrast to technology-centered approaches to service management and business interaction. Papers that include empirical,

analytical, and conceptual approaches that develop or extend

theory are welcome. Topics of interest include, but are not limited to:

 IT’s role in providing cost-effective service

 IT mediated or supported self-service

 IT-related service productivity, quality, and customer

satisfaction

 IT servitization

 IT-related service innovations and business transformation

 IT-related service management and marketing

 IT-related service value networks

 IT service, customer service, and service satisfaction

 IT-related service and consumer behavior

 IT-related service and employee attitudes and behavior

 IT-related service economics and pricing

 IT-related service engineering, systems, and computing

We expect this special issue to lead to significant crossfertilization across fields and, therefore, to particularly high

impact for the papers. The issue is sponsored by the National

Science Council of Taiwan and the Center for Excellence in

Service at the University of Maryland.

The best paper will receive a first-place award of $2,000,

and up to three additional papers will receive honorablemention awards of $1,000 each. In addition, each award will

include an invitation for the paper to be presented at the

Frontiers in Service Conference in 2013 (with complimentary

registration) that will coincide with the publication of the

special issue.

Please submit manuscripts to http://mc.manuscriptcentral.

com/journsr and designate ‘‘Special Issue on IT-Related

Service.’’

Submission Deadline: February 1, 2012; Expected Publication Date: August 2013"
"1624355172-1227","http://www.wikicfp.com/cfp/call?conference=marketing&page=2","MERKUR 2018","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=79098&copyownerid=105069","We would like to invite you to the 13th INTERNATIONAL SCIENTIFIC CONFERENCE FOR PhD. STUDENTS AND YOUNG SCIENTISTS MERKÚR 2018

organized by the Faculty of Commerce, University of Economics in Bratislava which will be held on November 29, 2018 – November 30, 2018 in the Faculty of Commerce, University of Economics in Bratislava.

 

The aim of the International Scientific Conference MERKÚR 2018 is to improve the transfer of knowledge in the field of the economic sciences on the level of scientific research of PhD. students and young scientists.

 

Conference sections

•  Business Management, Tourism and Services in Global Environment

•  Trends and Challenges in the International Business 

•  Innovative Marketing

 

More information about conference and guidelines for authors can be also found at the webpage: https://conferences.euba.sk/merkur/.



Please, confirm your participation and submit on-line registration form by September 30, 2018."
"1624355176-1229","http://www.wikicfp.com/cfp/call?conference=marketing&page=2","SABS 2018","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=78191&copyownerid=117484","BIRC aims to provide an opportunity to academics and practitioners around the world to discuss and share the contemporary issues of business and social science research. The proposed conference provides an outlet for high quality research in all areas of accounting, CSR, finance, economics, econometrics, education, information technology, Islamic finance and Sharia, law, management, marketing, social business and multidisciplinary.



Venue: Aqueen Hotel Paya Lebar 33 Jalan Afifi, Singapore 409180

Submit your abstract at: sabs@research-cluster.com"
"1624355026-1172","http://www.wikicfp.com/cfp/call?conference=marketing&page=5","WSM 2013","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=24619&copyownerid=40577","The Mission of the World Social Marketing Conference is to act as a vehicle to help build a global movement dedicated to capturing, spreading and nurturing good practice in social marketing, as well as increase the efficiency and effectiveness of social marketing practice at both operational and strategic levels.

 

The World Social Marketing Conference will be held at the Westin Harbour Castle, Toronto, 21 – 23 April 2013. The hotel is in the heart of downtown Toronto. The venue for the World Social Marketing Conference has the best of both worlds - the peaceful beauty of the lakefront and easy access to the bustling centre of Toronto, Canada's most cosmopolitan and richly diverse city. 



The World Social Marketing Conference planning committee invites submissions to be considered for oral and poster presentation.  Original manuscripts and special topic sessions are sought for presentation at the conference.  In an effort to accommodate all high quality manuscripts, there is no specific social marketing theme.  All manuscripts will be blind peer reviewed.  



The submission deadline is October 8, 2012. Submit all documents electronically via the WSM submissions portal 



Abstracts should demonstrate the application of social marketing in promoting social good. They may describe policy change, field case studies, technical innovation,  innovative research, teaching approaches or theoretical advancements. Of particular interest are submissions related to:  important current social issues, innovation and promoting the application of social marketing. Preference will be given to those submissions that clearly demonstrate the application of social marketing principles and to submissions that address one or more of the topic areas that are being emphasised at the 2013 World Social Marketing Conference:

 1.Environment 

2.Sustainability

3.Children & young people

4.Health

5.Public Transport

6.Technology

7.Crime

8.Safety

9.Social engagement

10.Developing world issues

 

Notification of acceptance will be made no later than 10 December 2012. You will receive an automated electronic confirmation of your submission. If you do not receive confirmation please email info@wsmconference.com

 

Manuscripts in their final stages should be submitted as competitive papers. Manuscripts representing work that is still in its formative stages should be submitted as working papers. Long abstracts will be considered for review. 



Papers must not exceed 5, double spaced pages, including text, references, figures and tables. Font must be Arial pt.12. Papers not adhering to these guidelines will be returned.

 

Oral presentations will be made to groups of up to 50 people. 25 minutes will be allotted to each presentation, followed by audience discussion. Poster presentations will be made during planned sessions for poster viewing and all networking refreshment and lunch breaks. Additional time will be made for poster presentations at the welcome drinks reception and conference networking party

 

Manuscript submissions should adhere to the following format: 

1.Title of manuscript or special topic session

2.Authors'/participants' names, affiliations, and positions (author/participant identification does not appear again).

3.Begin body of manuscript or special topic session proposal

 

If you have further questions please contact the conference office please email info@wsmconference.com"
"1624355009-1166","http://www.wikicfp.com/cfp/call?conference=marketing&page=5","ICMS 2012","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=22930&copyownerid=471","Call for Papers - ICMS2012



International Conference on

MARKETING STUDIES

August 17-19, 2012, Bangkok, Thailand

http://www.marketing-studies.org/

Organized by: Academy of Taiwan Information Systems Research

Sponsored by: International Business Academics Consortium (IBAC)

 

The 2012 International Conference on Marketing Studies (ICMS2012) will be held on August 17-19, 2012, in Bangkok, Thailand. This conference provides a forum for researchers and practitioners to exchange research results and share development experiences on marketing research.

 

The upcoming ICMS2012 conference covers, but not limited to the following areas:

 

Track 1: Strategic Marketing

        Marketing Strategy and Management

        Ethics and Social Resposibility

        Marketing Human Resource Management

        Global and International Marketing

        Intercultural Marketing

Track 2: Business Marketing and Supply Chain

        Business to Business Marketing

        Sale Management

        Supply Chain Management

        Distribution and Logistics Management

Track 3: Consumer Behavior

        Consumer Behavior and Psychology

        Retailing

        Fashion and Luxury Product Marketing

        Consumer Neuroscience

Track 4: Internet Marketing

        Internet and Interactive Marketing

        Online Behavior and Psychology

        Social Networking

        Word-of-Mouths

        Virtual Reality and Internet Advertising

Track 5: Marketing Communication

        Advertising

        Promotion

        Branding

        Customer Relationship Management

        Relationship Marketing

Track 6: Tourism, Hospitality, and Service Marketing

        Tourism Management

        Hospitality Management

        Service Marketing

        Sports and Leisure Activities Marketing

Track 7: Social Marketing

        Social Marketing

        Green Marketing

        Nonprofit Marketing

Track 8: Marketing Research and Education

        Research Method

        Bibliometric and Literature

        Marketing Education

        Marketing Research: Past, Present, and Future

Track 9: Others

        All Other Marketing Relative Topics"
"1624355221-1247","http://www.wikicfp.com/cfp/call?conference=marketing&page=1","ICGBP 2021","http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=125972&copyownerid=167690","The organizing committee takes pleasure inviting original conceptual or empirical research papers, systematic reviews, case studies related with contemporary issues on any of the following themes of business management practices (including non-profit business units).



1.      Accounting and Financial Management



2.      Marketing Management



3.      Human Resources Management



4.      Production Management



5.      Logistic and Supply Chain Management



6.      Operations Management



7.      Safety and Security Management for Business



8.      Managing Innovations, Research and Development in Business



9.      Data Sciences and Business Intelligence Management



10.   Business Policy & Strategic Management



11.   Economics and Business Management



Conference Highlights



–      Opportunity to present research at global platform



–      Publication opportunity



–      Best Research Paper award for every track



–      Global networking opportunities for academic and research collaboration



–      Future attendance at future virtual and in-person conferences organized by Centre for Management Practice at Brookes College



Contact Dr. Pinkal Shah on pinkal@brookescollege.ca for more details."
