,calculated_host_listings_count,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,days_past_last_review,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,latitude,longitude,accommodates,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,Seniority_days,instant_bookable_0,instant_bookable_1,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,require_guest_profile_picture_0,require_guest_profile_picture_1,require_guest_phone_verification_0,require_guest_phone_verification_1,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,has_availability_1,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_is_superhost_0.0,host_is_superhost_1.0,host_has_profile_pic_0,host_has_profile_pic_1,host_has_profile_pic_1.1,host_identity_verified_0,host_identity_verified_1
0,2.0,207.0,95.0,10.0,10.0,10.0,10.0,1847.0,1.0,1.0,1.0,85.0,2.0,5.0,1.0,365.0,47.63628904,-122.3710252,4.0,96.0,100.0,3.0,3.0,1606.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1,6.0,43.0,96.0,10.0,10.0,10.0,10.0,862.0,1.0,1.0,1.0,150.0,1.0,0.0,2.0,90.0,47.63912312,-122.3656665,4.0,98.0,100.0,6.0,6.0,1135.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2,2.0,20.0,97.0,10.0,10.0,10.0,10.0,222.0,4.5,5.0,7.0,975.0,10.0,25.0,4.0,30.0,47.62972413,-122.3694832,11.0,67.0,100.0,2.0,2.0,482.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3,1.0,17.0,95.0,10.0,10.0,10.0,10.0,-39.0,1.0,1.0,1.0,120.0,1.0,30.0,1.0,6.0,47.63052548,-122.3661741,2.0,81.89,79.73,1.0,1.0,1924.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
4,1.0,58.0,99.0,10.0,10.0,10.0,10.0,531.0,1.0,1.0,1.0,80.0,1.0,10.0,3.0,14.0,47.63660545,-122.3685191,2.0,100.0,100.0,1.0,1.0,1402.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
5,5.0,173.0,97.0,10.0,10.0,10.0,10.0,1036.0,1.0,1.0,1.0,60.0,1.0,0.0,2.0,7.0,47.64016054,-122.375856,2.0,100.0,100.0,5.0,5.0,1249.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
6,6.0,32.0,97.0,10.0,10.0,10.0,10.0,602.0,1.0,1.0,1.0,150.0,1.0,0.0,2.0,365.0,47.63749172,-122.3668886,4.0,98.0,100.0,6.0,6.0,1135.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
7,1.0,181.0,97.0,10.0,10.0,10.0,10.0,1588.0,1.0,1.0,1.0,95.0,2.0,15.0,3.0,7.0,47.63548171,-122.3584778,2.0,100.0,100.0,1.0,1.0,2021.0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
8,1.0,13.0,98.0,10.0,10.0,10.0,10.0,152.0,1.0,2.0,3.0,245.0,1.0,0.0,3.0,14.0,47.63554551,-122.3731708,4.0,100.0,100.0,1.0,1.0,597.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
9,1.0,18.0,98.0,9.0,10.0,10.0,10.0,153.0,3.5,6.0,15.0,461.0,8.0,50.0,3.0,29.0,47.63920266,-122.3658627,16.0,100.0,100.0,1.0,1.0,539.0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
10,1.0,1.0,80.0,8.0,10.0,8.0,8.0,0.0,1.0,2.0,2.0,109.0,1.0,0.0,3.0,15.0,47.63564979,-122.3728928,5.0,100.0,100.0,1.0,1.0,1353.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
11,1.0,84.0,95.0,10.0,9.0,10.0,10.0,581.0,1.0,1.0,1.0,66.0,1.0,25.0,1.0,10.0,47.62620037,-122.3666019,2.0,100.0,100.0,1.0,1.0,898.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
12,1.0,45.0,98.0,10.0,10.0,10.0,10.0,87.0,1.0,1.0,1.0,99.0,1.0,0.0,2.0,14.0,47.64064588,-122.3724059,2.0,100.0,100.0,1.0,1.0,457.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
13,1.0,5.0,85.0,10.0,9.0,9.0,9.0,93.0,3.5,5.0,5.0,700.0,1.0,0.0,3.0,30.0,47.63602478,-122.3586936,10.0,81.89,79.73,1.0,1.0,332.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
14,5.0,80.0,95.0,10.0,10.0,10.0,10.0,604.0,1.0,1.0,1.0,45.0,1.0,0.0,2.0,7.0,47.63926602,-122.3747258,2.0,100.0,100.0,5.0,5.0,1249.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
15,6.0,38.0,96.0,10.0,10.0,10.0,10.0,674.0,1.0,1.0,1.0,175.0,1.0,0.0,2.0,365.0,47.63900778,-122.3653201,4.0,98.0,100.0,6.0,6.0,1135.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
16,1.0,8.0,88.0,9.0,9.0,9.0,9.0,-87.0,3.0,3.0,2.0,175.0,1.0,0.0,4.0,120.0,47.64063323,-122.3727094,4.0,60.0,100.0,1.0,1.0,149.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
17,2.0,19.0,95.0,10.0,10.0,10.0,10.0,94.0,1.0,1.0,2.0,125.0,2.0,25.0,2.0,365.0,47.63981019,-122.3738006,4.0,100.0,100.0,2.0,2.0,418.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
18,2.0,2.0,100.0,10.0,10.0,10.0,10.0,54.0,1.0,1.0,2.0,150.0,2.0,25.0,2.0,365.0,47.6393621,-122.3724026,4.0,100.0,100.0,2.0,2.0,418.0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
19,1.0,9.0,91.0,9.0,10.0,9.0,9.0,630.0,1.0,1.0,2.0,148.0,2.0,20.0,3.0,365.0,47.63199585,-122.3716577,3.0,100.0,100.0,1.0,1.0,957.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
20,1.0,41.0,98.0,10.0,10.0,10.0,10.0,732.0,1.5,2.0,2.0,350.0,4.0,0.0,2.0,30.0,47.63868624,-122.3707999,4.0,81.89,79.73,1.0,1.0,1366.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
